Model,MAE,MSE,RMSE,R2,MAPE(%)
Linear Regression,8.200817946892002,103.48537258326557,10.172776050973773,-0.011868085798409256,56.473820671434574
Ridge,8.20062188679975,103.47913028380555,10.172469232384316,-0.011807049311339357,56.474740172391314
Lasso,8.177901556376119,102.79307855029208,10.138692151865154,-0.005098914267515742,56.44389777124722
Elastic Net,8.182228072191533,102.93523113582475,10.145700130391434,-0.006488865919847209,56.441341615285566
Decision Tree,8.200180353677116,105.19221725556986,10.256325719065764,-0.028557416939678504,53.24996306605215
Random Forest,7.795687517938734,93.44278098055031,9.66658062504784,0.08632722130471182,50.23982334859474
Gradient Boosting,7.803477979669865,96.05284803208663,9.800655489919366,0.060806285492082446,49.86799734181573
XGBoost,7.7973087279523,95.07478328163018,9.750629891531633,0.07036969027216355,49.332088413204765
LightGBM,7.724639735920839,93.77487958402403,9.683743056485133,0.08307999930797116,49.88873250246164
CatBoost,7.64071908474376,90.5394386151843,9.515221417034093,0.11471576944755724,48.44968648386233
