order_day,product_name,daily_qty
2023-01-01,Biscuits,11.0
2023-01-02,Biscuits,19.0
2023-01-03,Biscuits,15.0
2023-01-04,Biscuits,11.0
2023-01-05,Biscuits,24.0
2023-01-06,Biscuits,34.0
2023-01-07,Biscuits,24.0
2023-01-08,Biscuits,39.0
2023-01-09,Biscuits,14.0
2023-01-10,Biscuits,16.0
2023-01-11,Biscuits,20.0
2023-01-12,Biscuits,14.0
2023-01-13,Biscuits,42.0
2023-01-14,Biscuits,24.0
2023-01-15,Biscuits,0.0
2023-01-16,Biscuits,30.0
2023-01-17,Biscuits,44.0
2023-01-18,Biscuits,26.0
2023-01-19,Biscuits,30.0
2023-01-20,Biscuits,40.0
2023-01-21,Biscuits,25.0
2023-01-22,Biscuits,12.0
2023-01-23,Biscuits,19.0
2023-01-24,Biscuits,22.0
2023-01-25,Biscuits,44.0
2023-01-26,Biscuits,16.0
2023-01-27,Biscuits,24.0
2023-01-28,Biscuits,27.0
2023-01-29,Biscuits,26.0
2023-01-30,Biscuits,44.0
2023-01-31,Biscuits,22.0
2023-02-01,Biscuits,22.0
2023-02-02,Biscuits,7.0
2023-02-03,Biscuits,12.0
2023-02-04,Biscuits,12.0
2023-02-05,Biscuits,37.0
2023-02-06,Biscuits,45.0
2023-02-07,Biscuits,7.0
2023-02-08,Biscuits,31.0
2023-02-09,Biscuits,13.0
2023-02-10,Biscuits,5.0
2023-02-11,Biscuits,25.0
2023-02-12,Biscuits,36.0
2023-02-13,Biscuits,30.0
2023-02-14,Biscuits,15.0
2023-02-15,Biscuits,11.0
2023-02-16,Biscuits,29.0
2023-02-17,Biscuits,20.0
2023-02-18,Biscuits,7.0
2023-02-19,Biscuits,23.0
2023-02-20,Biscuits,40.0
2023-02-21,Biscuits,3.0
2023-02-22,Biscuits,11.0
2023-02-23,Biscuits,49.0
2023-02-24,Biscuits,21.0
2023-02-25,Biscuits,29.0
2023-02-26,Biscuits,16.0
2023-02-27,Biscuits,24.0
2023-02-28,Biscuits,14.0
2023-03-01,Biscuits,14.0
2023-03-02,Biscuits,18.0
2023-03-03,Biscuits,9.0
2023-03-04,Biscuits,8.0
2023-03-05,Biscuits,11.0
2023-03-06,Biscuits,16.0
2023-03-07,Biscuits,19.0
2023-03-08,Biscuits,19.0
2023-03-09,Biscuits,27.0
2023-03-10,Biscuits,15.0
2023-03-11,Biscuits,12.0
2023-03-12,Biscuits,39.0
2023-03-13,Biscuits,49.0
2023-03-14,Biscuits,30.0
2023-03-15,Biscuits,18.0
2023-03-16,Biscuits,34.0
2023-03-17,Biscuits,14.0
2023-03-18,Biscuits,23.0
2023-03-19,Biscuits,25.0
2023-03-20,Biscuits,27.0
2023-03-21,Biscuits,16.0
2023-03-22,Biscuits,38.0
2023-03-23,Biscuits,30.0
2023-03-24,Biscuits,55.0
2023-03-25,Biscuits,28.0
2023-03-26,Biscuits,23.0
2023-03-27,Biscuits,30.0
2023-03-28,Biscuits,15.0
2023-03-29,Biscuits,23.0
2023-03-30,Biscuits,49.0
2023-03-31,Biscuits,18.0
2023-04-01,Biscuits,36.0
2023-04-02,Biscuits,17.0
2023-04-03,Biscuits,20.0
2023-04-04,Biscuits,22.0
2023-04-05,Biscuits,22.0
2023-04-06,Biscuits,21.0
2023-04-07,Biscuits,24.0
2023-04-08,Biscuits,48.0
2023-04-09,Biscuits,27.0
2023-04-10,Biscuits,19.0
2023-04-11,Biscuits,44.0
2023-04-12,Biscuits,24.0
2023-04-13,Biscuits,43.0
2023-04-14,Biscuits,32.0
2023-04-15,Biscuits,36.0
2023-04-16,Biscuits,16.0
2023-04-17,Biscuits,19.0
2023-04-18,Biscuits,16.0
2023-04-19,Biscuits,21.0
2023-04-20,Biscuits,27.0
2023-04-21,Biscuits,12.0
2023-04-22,Biscuits,16.0
2023-04-23,Biscuits,29.0
2023-04-24,Biscuits,12.0
2023-04-25,Biscuits,36.0
2023-04-26,Biscuits,53.0
2023-04-27,Biscuits,59.0
2023-04-28,Biscuits,20.0
2023-04-29,Biscuits,33.0
2023-04-30,Biscuits,31.0
2023-05-01,Biscuits,12.0
2023-05-02,Biscuits,22.0
2023-05-03,Biscuits,43.0
2023-05-04,Biscuits,30.0
2023-05-05,Biscuits,3.0
2023-05-06,Biscuits,24.0
2023-05-07,Biscuits,22.0
2023-05-08,Biscuits,19.0
2023-05-09,Biscuits,15.0
2023-05-10,Biscuits,36.0
2023-05-11,Biscuits,29.0
2023-05-12,Biscuits,20.0
2023-05-13,Biscuits,27.0
2023-05-14,Biscuits,29.0
2023-05-15,Biscuits,26.0
